楼盘名称,成交价,成交单价,成交周期,位置,房屋户型,所在楼层,建筑面积,房屋朝向,建成年代,装修情况,建筑结构,供暖方式,梯户比例,产权年限,配备电梯,链家编号
鲁能领寓,64,17131,82成交周期（天）,火车站二手房成交,1室1厅1厨1卫,低楼层(共30层),37.04㎡,北,2006,精装,钢混结构,集中供暖,四梯二十户,50年,有,103105430605
新贵都C区,153,25215,215成交周期（天）,新贵都二手房成交,2室1厅1厨1卫,中楼层(共8层),60.48㎡,南 北,2003,精装,混合结构,集中供暖,一梯四户,70年,无,103104083623
星海苑一期,364,32344,445成交周期（天）,新贵都二手房成交,3室1厅1厨2卫,低楼层(共7层),112.48㎡,南 北,2000,精装,混合结构,集中供暖,一梯三户,50年,无,103102638182
泰州路,204,31980,52成交周期（天）,镇江路二手房成交,3室1厅1厨1卫,中楼层(共8层),63.79㎡,南 北,1982,简装,砖混结构,集中供暖,一梯五户,70年,无,103105766982
兴源花园,280,31703,178成交周期（天）,奥帆中心二手房成交,2室1厅1厨1卫,中楼层(共7层),88.32㎡,南 北,1998,简装,砖混结构,集中供暖,一梯三户,70年,无,103104417777
龙泉路,126,22420,33成交周期（天）,田家花园二手房成交,2室1厅1厨1卫,低楼层(共6层),56.2㎡,南 北,1986,简装,混合结构,集中供暖,一梯四户,70年,无,103105982852
新贵都二期,315,34385,477成交周期（天）,新贵都二手房成交,2室1厅1厨1卫,中楼层(共7层),91.61㎡,南 北,2001,精装,砖混结构,集中供暖,一梯两户,70年,无,103102519095
新昌路,140,22817,41成交周期（天）,田家花园二手房成交,2室1厅1厨1卫,中楼层(共7层),61.36㎡,西南,1992,其他,混合结构,集中供暖,一梯四户,70年,无,103105885431
华润中心悦府,920,49447,154成交周期（天）,湛山二手房成交,3室2厅1厨2卫,高楼层(共59层),186.06㎡,东 南,2015,精装,钢混结构,集中供暖,两梯两户,70年,有,103104648058
金都花园(市南),200,17717,54成交周期（天）,五四广场二手房成交,2室1厅1厨1卫,低楼层(共32层),112.89㎡,东,1994,精装,钢混结构,集中供暖,四梯八户,70年,有,103105719022
